span_m,chord_m,surface_area_m2,twist_root_deg,twist_slope_deg_per_m,tip_twist_deg,alpha_deg,CL,CD,L_over_D,S_CL
2.785,1.5724613148158098,8.758891947502846,1.985389517302192,-1.1706344184266353,-1.2748273380159876,3.0,0.45667876986887684,0.018442471482071943,24.762341116418018,4.000000000000011
3.0944444444444446,1.2831059082309855,7.94116433325592,2.024827562512386,-1.1496616791487988,-1.5327366335202859,3.0,0.5037044735680439,0.016556313736272883,30.4237091415155,4.0
3.403888888888889,1.0811680352807742,7.360456579289879,2.134941687804106,-1.1317102217755766,-1.7172741615397595,3.0,0.5434445481622422,0.014817783387196288,36.67515808280882,3.999999999999991
3.713333333333334,0.9376714627172943,6.963844959406869,2.244961871589277,-1.1083209649907502,-1.870603311743042,3.0,0.5743953265858169,0.013202029271122717,43.5081088512819,3.9999999997515037
4.022777777777778,0.8354213685317509,6.721480526928492,2.300066772688874,-1.0741007804175835,-2.020801977868749,3.0,0.595106983346053,0.011688379145378312,50.9144147314355,3.9999999999996536
4.332222222222223,0.7608838429841286,6.592674387797343,2.291341958146293,-1.0310105638174167,-2.175224917769383,3.0,0.6067340451964949,0.010303344256613107,58.88709821639399,3.9999999999716076
4.6416666666666675,0.7044971328454811,6.540111580983046,2.2333912782692518,-0.9833750839459127,-2.3311080697130273,3.0,0.6116103602316145,0.009071545608241279,67.42074467177692,3.9999999999999947
4.9511111111111115,0.6602152819982731,6.537622118242216,2.1430093261581145,-0.9346023044483509,-2.4843105278661652,3.0,0.6118432554917199,0.007996774727397715,76.51125314253088,3.999999999999991
5.260555555555555,0.6243032664628021,6.568383185505675,2.0329559257759025,-0.8867616468886426,-2.63190298221774,3.0,0.6089778697478393,0.007068360799075913,86.1554591026896,3.9999999999967724
5.57,0.5944035695027696,6.6216715047729195,1.9118773866069674,-0.8409608405631125,-2.7722744953295697,3.0,0.604077081914557,0.0062695564113102,96.35084881361138,3.9999999999999987
