span_m,chord_m,surface_area_m2,alpha_deg,CL,CD,L_over_D,S_CL
2.785,1.7704911498538471,9.86163570468593,3.0,0.40561222496745436,0.01656991043241506,24.478842334233217,3.99999999999615
3.0944444444444446,1.4020366585034334,8.677049097626803,3.0,0.46098621259317385,0.015432784199285083,29.87057984096796,3.9999999999999964
3.403888888888889,1.1679640746378488,7.951239872562338,3.0,0.5030661964727388,0.014082985420763246,35.72155913269946,3.9999999999323195
3.713333333333334,1.0055457150559184,7.467852843815285,3.0,0.5356291940428436,0.012753189545604482,41.99962622114824,3.9999999999633387
4.022777777777778,0.8856701967876377,7.125708772154765,3.0,0.5613476677053534,0.0115320378711543,48.67723068352751,3.9999999999966547
4.332222222222223,0.7931639287380337,6.872324795887984,3.0,0.5820446673359206,0.01044364119914402,55.731967063712034,3.99999999964702
4.6416666666666675,0.7193623248768597,6.678080249273513,3.0,0.5989745326635015,0.009485508536699877,63.14627522035756,3.9999999963979627
4.9511111111111115,0.6589514678676814,6.5250838684853045,3.0,0.6130189405409955,0.008645427371571484,70.90672493031038,4.000000000000002
5.260555555555555,0.6084834803073155,6.4019223055888554,3.0,0.6248123312130835,0.007908701247403616,79.00315256164292,4.0000000000000115
5.57,0.5656180678585142,6.300985275943844,3.0,0.6348213533003113,0.007261087418838509,87.4278626164589,4.000000000000006
